fund_name,vintage_year,asset_class,sub_strategy,pension_count,pensions,total_commitment_mm,avg_irr,avg_multiple
Evergreen Park Investment Fund,2021,Private Equity,,1,WSIB,4800.00,0.1769,1.4000
KKR 2006 Fund,2006,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",4112.50,0.0894,1.7443
NYSCRF NB Co-Investment Fund II,2020,Private Equity,Co-Investment,1,NY Common,4000.00,,1.2351
Hellman & Friedman Capital Partners X,2021,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",3890.01,0.0552,1.1620
Blackstone Capital Partners V,2006,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,NY Common",3388.40,0.0833,1.6509
Blackstone Capital Partners VIII,2021,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",3262.50,0.1104,1.2547
TPG Partners V,2006,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2921.10,0.0453,1.3389
KKR Millennium Fund,2002,Private Equity,Buyout,3,"WSIB,Oregon,NY Common",2750.00,0.1655,1.8150
KKR Americas Fund XII,2017,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",2750.00,0.1973,2.1345
Blackstone Capital Partners VII,2016,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2725.00,0.1363,1.7074
Hellman & Friedman Capital Partners IX,2020,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2708.72,0.1318,1.6142
TPG Partners VI,2008,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",2490.00,0.0958,1.4959
KKR North America Fund XIII SCSp,2022,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,NY Common",2425.00,0.1158,1.1849
CVC Capital Partners VIII (A),2021,Private Equity,Buyout,4,"CalPERS,CalSTRS,Oregon,NY Common",2398.73,0.0863,1.1751
Thoma Bravo Fund XIV,2021,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2150.00,0.0622,1.2086
Lincoln Plaza Fund,2024,Private Equity,,1,CalPERS,2000.00,,1.1748
Vista Equity Partners Fund VII,2018,Private Equity,Buyout,2,"Oregon,NY Common",2000.00,0.0490,1.2266
Hellman & Friedman Capital Partners VIII,2016,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2000.00,0.1060,1.7307
Phoenix Bear Partners,2023,Private Equity,,1,CalPERS,1975.00,,1.2479
CA Co-Investment Limited Partnership,2022,Private Equity,Co-Investment,1,CalPERS,1950.00,0.1391,1.3248
Thoma Bravo Fund XV,2022,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1898.29,0.1414,1.3290
TA XV,2025,Private Equity,,3,"WSIB,Oregon,NY Common",1850.00,-0.1311,0.8995
Warburg Pincus Private Equity X,2007,Private Equity,Growth Equity,3,"WSIB,Oregon,NY Common",1850.00,0.0922,1.7596
Apollo Investment Fund IX,2019,Private Equity,Buyout,3,"CalPERS,CalSTRS,NY Common",1810.00,0.1631,1.5350
TPG Partners VII,2015,Private Equity,Buyout,3,"WSIB,Oregon,NY Common",1800.00,0.2018,1.9595
Hellman & Friedman Capital Partners XI,2025,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",1800.00,0.0000,
Francisco Partners VII,2023,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1800.00,0.1371,1.0785
Nordic Bear SCSp,2021,Private Equity,,1,CalPERS,1800.00,0.1151,1.2377
Blackstone Capital Partners VI,2011,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1775.00,0.1228,1.8319
BC CLP INVESTORS,2023,Private Equity,,1,CalPERS,1700.00,,1.1765
Hudson River Fund II,2001,Private Equity,,1,NY Common,1700.00,,1.5491
Apollo Investment Fund VI,2006,Private Equity,Buyout,4,"CalPERS,CalSTRS,Oregon,NY Common",1670.00,0.0846,1.5136
Innovation Opportunities,2023,Private Equity,Opportunistic,1,CalPERS,1668.57,,1.7487
KKR 1996 Fund,1997,Private Equity,Buyout,2,"WSIB,Oregon",1650.65,0.1320,1.6150
Providence Equity Partners VI,2007,Private Equity,Buyout,3,"CalSTRS,WSIB,NY Common",1650.00,0.0592,1.3951
Blackwell Capital Partners,2023,Private Equity,,1,CalPERS,1620.09,,1.2282
NYSCRF NB Co-Investment Fund,2015,Private Equity,Co-Investment,1,NY Common,1600.00,,2.0458
First Reserve Fund XI,2006,Private Equity,Energy,3,"CalPERS,CalSTRS,WSIB",1600.00,-0.0928,0.6754
Carlyle Partners V,2007,Private Equity,Buyout,3,"CalPERS,CalSTRS,NY Common",1600.00,0.1316,1.7754
TA XIV-A,2021,Private Equity,,4,"CalPERS,WSIB,Oregon,NY Common",1595.00,0.0712,1.1315
Green Equity Investors VIII,2020,Private Equity,,3,"CalPERS,WSIB,NY Common",1576.21,0.1149,1.4127
CVC European Equity Partners V (B),2008,Private Equity,,4,"CalPERS,CalSTRS,Oregon,NY Common",1558.35,0.1652,1.9838
Apollo Investment Fund VIII,2013,Private Equity,Buyout,3,"CalPERS,Oregon,NY Common",1550.00,0.0985,1.4536
TPG Growth IV,2018,Private Equity,Growth Equity,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1525.00,0.1437,1.6613
Green Equity Investors IX,2023,Private Equity,,3,"CalPERS,WSIB,NY Common",1525.00,0.1922,1.1769
Silver Lake Partners VI,2021,Private Equity,Buyout,2,"CalPERS,WSIB",1505.24,0.0859,1.2621
Warburg Pincus Private Equity IX,2005,Private Equity,Growth Equity,3,"WSIB,Oregon,NY Common",1500.00,0.0960,1.7175
TPG Partners VIII,2019,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,Oregon",1500.00,0.1762,1.5123
Vista Equity Partners Fund VI,2016,Private Equity,Buyout,2,"Oregon,NY Common",1500.00,0.1550,2.0410
Francisco Partners VI,2021,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1500.00,0.1419,1.4347
KKR Asian Fund III,2018,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",1500.00,0.1905,1.9760
LongRange Capital Fund I,2020,Private Equity,,1,CalPERS,1500.00,0.1260,1.3282
Insight Partners XII,2021,Private Equity,Growth Equity,3,"CalPERS,WSIB,NY Common",1450.00,0.0134,1.0007
Blackstone Core Equity Partners II,2021,Private Equity,Buyout,2,"CalPERS,CalSTRS",1425.00,0.1381,1.3757
KKR North America Fund XI,2013,Private Equity,Buyout,3,"CalSTRS,WSIB,Oregon",1400.00,0.1921,2.2635
Carlyle Partners VII,2018,Private Equity,Buyout,3,"CalPERS,CalSTRS,WSIB",1400.00,0.0988,1.4200
KKR 1987 Fund,1987,Private Equity,Buyout,2,"WSIB,Oregon",1352.77,0.0871,1.6800
Moreton Bay SPV,2023,Private Equity,,1,CalPERS,1350.00,,1.2218
Ares Corporate Opportunities Fund V,2017,Private Equity,Opportunistic,3,"CalPERS,CalSTRS,NY Common",1325.00,0.0583,1.2979
KKR European Fund II,2005,Private Equity,Buyout,4,"CalPERS,WSIB,Oregon,NY Common",1311.05,0.0449,1.2737
TPG PARTNERS IX,2023,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,Oregon",1260.00,0.2180,1.2145
Advent International GPE X Limited Partnership,2022,Private Equity,Buyout,2,"CalPERS,WSIB",1250.00,0.1595,1.2502
KKR Asian Fund II,2013,Private Equity,Buyout,4,"CalPERS,WSIB,Oregon,NY Common",1250.00,-0.0020,1.0228
Apollo Investment Fund X,2023,Private Equity,Buyout,3,"CalPERS,CalSTRS,NY Common",1225.00,0.1914,1.1446
Bridgepoint Europe VI,2019,Private Equity,Buyout,3,"WSIB,Oregon,NY Common",1211.06,0.1435,1.6024
Red Admiral Fund,2023,Private Equity,,1,CalPERS,1200.00,,1.6668
First Reserve Fund XII,2008,Private Equity,Energy,2,"CalSTRS,WSIB",1200.00,-0.1735,0.4909
Hellman & Friedman Capital Partners VII,2011,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,NY Common",1200.00,0.2457,3.3756
CA1 SPV,2023,Private Equity,,1,CalPERS,1200.00,,1.1886
TA XIII-A,2019,Private Equity,,3,"CalSTRS,WSIB,NY Common",1195.00,0.2236,1.8405
Warburg Pincus Private Equity XII,2015,Private Equity,Growth Equity,2,"WSIB,NY Common",1190.00,0.1597,2.0170
TPG Partners IV,2003,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1175.00,0.1522,1.9387
RRJ Capital Master Fund III,2015,Private Equity,,3,"CalSTRS,Oregon,NY Common",1150.00,0.0752,1.1859
CVC Capital Partners IX,2023,Private Equity,Buyout,2,"Oregon,NY Common",1101.15,,1.1139
CVC European Equity Partners IV (D),2005,Private Equity,,4,"CalPERS,CalSTRS,Oregon,NY Common",1100.02,0.1699,1.8701
KSL Capital Partners V,2019,Private Equity,,3,"WSIB,Oregon,NY Common",1100.00,0.1200,1.3059
Trident IX,2022,Private Equity,,3,"CalPERS,CalSTRS,WSIB",1100.00,0.1746,1.2909
KKR Asian Fund IV SCSp,2021,Private Equity,Buyout,3,"CalPERS,CalSTRS,WSIB",1100.00,0.1891,1.5036
TCC Opportunities,2021,Private Equity,Opportunistic,1,CalPERS,1100.00,0.2151,1.2924
Insight Partners XI,2020,Private Equity,Growth Equity,3,"CalPERS,WSIB,NY Common",1100.00,0.1278,1.6419
Apollo Investment Fund VII,2008,Private Equity,Buyout,3,"CalSTRS,Oregon,NY Common",1100.00,0.2252,1.8262
Permira VII L.P.1,2020,Private Equity,Buyout,2,"CalPERS,CalSTRS",1082.21,0.0750,1.3029
JSC Capital Partners,2024,Private Equity,,1,CalPERS,1074.31,,1.2031
Permira VIII-2 SCSp,2023,Private Equity,Buyout,2,"CalPERS,CalSTRS",1064.28,0.1737,1.1902
Vista Equity Partners Fund VIII,2022,Private Equity,Buyout,2,"Oregon,NY Common",1050.00,,1.2051
General Atlantic Managed Account,2020,Private Equity,Growth Equity,1,CalPERS,1050.00,0.0700,1.2116
Grandval II,2019,Private Equity,,1,CalPERS,1050.00,0.1500,1.5786
Thoma Bravo Fund XII,2016,Private Equity,Buyout,2,"CalSTRS,NY Common",1050.00,0.1507,2.1837
Pathway Portfolio,1997,Private Equity,Fund of Funds,1,WSIB,1013.28,0.1155,1.8000
New York Legacy Venture Capital Fund,2004,Private Equity,Venture Capital,1,NY Common,1005.00,,1.7795
CVC Capital Partners Strategic Opportunities Compounding Capital,2017,Private Equity,Opportunistic,1,CalPERS,1002.54,0.1160,1.8195
CVC Capital Partners VII,2017,Private Equity,Buyout,2,"Oregon,NY Common",1001.54,0.2030,2.0066
Clearlake Capital Partners VII,2022,Private Equity,Buyout,3,"CalPERS,Oregon,NY Common",1000.00,0.0405,1.0994
Cedar Street Partners,2021,Private Equity,,1,CalPERS,1000.00,0.3821,2.0934
Vista Equity Partners Fund V,2014,Private Equity,Buyout,2,"Oregon,NY Common",1000.00,0.1600,2.1999
Vista Credit Partners III,2020,Private Credit,Credit,1,NY Common,1000.00,,1.2186
Vista Foundation Fund III,2016,Private Equity,,2,"Oregon,NY Common",1000.00,0.1830,1.9236
"Oaktree Opportunities Fund, Xb",2017,Private Equity,Opportunistic,1,NY Common,1000.00,,1.6268
OHA Black Bear Fund,2020,Private Equity,,1,CalPERS,1000.00,0.1150,1.5011
Fisher Lynch Co-Investment Partnership II,2011,Private Equity,Co-Investment,2,"WSIB,Oregon",1000.00,0.1726,2.3050
